id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
4350615,1.7858218701829771e+19,1,14102202,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,e56d04ce,5096d134,1,0,21760,320,50,2502,0,35,-1,221
33194056,2.017990675543192e+16,0,14102905,1005,0,85f751fd,c4e18dd6,50e219e0,c8e3e3c1,b5f3b24a,8ded1f7a,de36ebff,29cf9c1d,46a414f4,1,0,21611,320,50,2480,3,297,100111,61
17239493,1.8239358152676987e+19,0,14102507,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,5ef6f95f,981edffc,1,3,21191,320,50,2424,1,161,100189,71
37524040,7.31739643304771e+18,0,14103007,1005,0,85f751fd,c4e18dd6,50e219e0,7e7baafa,2347f47a,0f2161f8,a99f214a,b0b09cb4,be87996b,1,2,23866,320,50,2736,3,33,100170,246
21138534,1.3739558267522976e+19,0,14102608,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,a99f214a,b3375fe4,7558c63e,1,0,17875,320,50,2036,3,47,-1,156
9540044,8.259620889394431e+18,0,14102300,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,24c1491b,553f099b,1,0,15701,320,50,1722,0,35,-1,79
22100419,4.223865136298947e+18,0,14102612,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,e6c89918,e1eae715,1,2,21189,320,50,2424,1,161,100193,71
28593061,1.0342395246968564e+19,0,14102809,1005,0,85f751fd,c4e18dd6,50e219e0,39947756,2347f47a,cef3e649,a698a0b2,36688e36,18f88d6a,1,3,23015,320,50,2658,3,35,100148,23
4593819,1.4326535414853884e+19,0,14102204,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,675c2539,a0f5f879,1,0,8330,320,50,761,3,175,-1,23
32815364,1.574510697470831e+19,0,14102903,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,009c0e22,0b188ab3,1,0,22951,320,50,2654,3,38,-1,23
15470861,1.2461966697166326e+19,0,14102414,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,58f9d8a9,2692a96a,1,0,21191,320,50,2424,1,161,100189,71
39901718,1.1854436367849058e+19,0,14103019,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,5e6aed21,be74e6fe,1,0,23728,320,50,2717,2,47,-1,23
118583,9.942798591673818e+17,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,d0c37097,23885c9e,1,0,15706,320,50,1722,0,35,100084,79
7429939,5.733872537375666e+18,0,14102212,1005,0,85f751fd,c4e18dd6,50e219e0,e96773f0,2347f47a,0f2161f8,a99f214a,d9efcb07,dc15c87e,1,2,21767,320,50,2506,0,35,-1,157
37361822,7.264498684546288e+18,1,14103006,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,7be89ff0,fbec56bc,1,0,21863,320,50,2524,0,167,100084,221
16839057,1.8099423295736203e+19,0,14102502,1005,0,85f751fd,c4e18dd6,50e219e0,be7c618d,2347f47a,f95efa07,653cb311,5048f5d8,24f6b932,1,3,377,320,50,112,3,1319,-1,15
1886861,1.2509510449394696e+19,0,14102109,1005,0,686546d3,9d54950b,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a4497aa0,db1d05df,1,0,20387,320,50,2338,0,35,-1,79
14805955,1.3086517399809423e+19,0,14102410,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,be031913,158e4944,1,0,17014,320,50,1872,3,39,-1,23
8983873,9.451318013346486e+18,0,14102219,1005,1,a7853007,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,af62faf4,3bb1ddd7,1,0,9478,320,50,906,3,1451,100156,61
37759830,1.3782311559006456e+18,0,14103009,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,8d51bc1e,1aa0e912,1,0,22676,320,50,2616,0,35,-1,51
12832358,3.4512180453604915e+18,1,14102319,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,a7971e33,2e0de5da,1,2,15706,320,50,1722,0,35,100083,79
19115813,7.235228618341472e+18,0,14102516,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,d5e91a97,a0f5f879,1,0,17653,300,250,1994,2,39,100084,33
34173547,5.020515601087517e+18,0,14102910,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,75bb1b58,8a4875bd,1,0,23160,320,50,2667,0,35,-1,221
38212535,1.6497287905243202e+19,0,14103011,1005,0,85f751fd,c4e18dd6,50e219e0,e9739828,df32afa9,cef3e649,a99f214a,ba893880,2891f384,1,0,23883,320,50,2738,0,163,-1,17
30574742,1.3020198618024262e+19,0,14102815,1005,0,c1fcc9a1,422b8953,76b2941d,ecad2386,7801e8d9,07d7df22,a99f214a,431b3174,f39b265e,1,0,23434,320,50,2683,1,163,-1,212
22380078,7.199387975093884e+18,0,14102613,1005,0,9a977531,a434fa42,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,af22645e,a0f5f879,1,0,20006,320,50,2283,0,163,-1,95
18085236,1.560415068003347e+19,1,14102512,1005,0,85f751fd,c4e18dd6,50e219e0,ce183bbd,ae637522,cef3e649,a99f214a,722fc3e9,36b67a2a,1,0,22467,320,50,2589,0,171,100005,156
27851786,6.009401374569426e+18,0,14102805,1005,0,85f751fd,c4e18dd6,50e219e0,54c5d545,2347f47a,0f2161f8,b648aa43,ba979f3d,a2140f4f,1,0,15701,320,50,1722,0,35,100084,79
13128117,9.027923526219894e+18,0,14102321,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,a99f214a,1fe34b3f,c6263d8a,1,0,20633,320,50,2374,3,39,-1,23
39331977,9.580080109077877e+18,0,14103015,1005,0,d8540407,4a46bcae,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,41e4e74a,61b7308b,1,0,16858,320,50,1887,3,39,-1,23
6166043,5.00277724749663e+18,0,14102209,1005,0,85f751fd,c4e18dd6,50e219e0,09ee80af,2347f47a,0f2161f8,a99f214a,563fbc3d,e24c8b65,1,2,21768,320,50,2506,0,35,-1,157
11720647,1.463404054546176e+18,1,14102313,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,ec7e063a,b1cffd07,1,0,19016,300,250,2162,2,39,-1,33
7405735,4.750299526202848e+18,0,14102212,1005,0,85f751fd,c4e18dd6,50e219e0,39947756,2347f47a,cef3e649,98b0578d,1cd3089f,ecb851b2,1,2,21768,320,50,2506,0,35,100021,157
4046634,9.55241662442059e+18,0,14102122,1005,0,85f751fd,c4e18dd6,50e219e0,f0d41ff1,2347f47a,0f2161f8,a99f214a,43078873,25fbd8f1,1,0,21747,320,50,2504,3,41,100160,111
14908764,8.105176200285967e+18,1,14102410,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,45dc68a5,4ea23a13,1,0,22259,320,50,2545,0,167,-1,221
21674565,7.601203312454518e+18,0,14102610,1005,0,85f751fd,c4e18dd6,50e219e0,48f4bdf9,a8b0bf20,75d80bbe,a99f214a,80fe7bab,ef726eae,1,0,380,320,50,112,3,1319,100041,15
2015369,5.163081509853186e+18,0,14102109,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,bbfca4b3,8a4875bd,1,0,21725,320,50,2502,0,35,-1,221
27932361,1.314978995386432e+19,0,14102806,1002,0,5b787406,f3ca2e42,50e219e0,ecad2386,7801e8d9,07d7df22,93aabec3,3e02ee14,1da119e0,0,0,22575,320,50,2604,3,163,100141,61
23116082,1.4913235159338002e+19,0,14102617,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a997a974,a5bce124,1,0,8330,320,50,761,3,175,100081,23
7541418,1.0352189812702388e+19,0,14102213,1005,0,85f751fd,c4e18dd6,50e219e0,fc46e1c5,2347f47a,0f2161f8,a99f214a,162c8144,d787e91b,1,0,21273,320,50,2443,2,39,-1,23
27727361,1.1476140542683308e+19,0,14102805,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,7b0c7ed6,49425d3b,a8d2c4cf,1,0,22796,320,50,2645,3,35,-1,23
31813727,1.1008230293819978e+19,0,14102820,1005,0,0338ff60,d074c603,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,fff5d27b,6bfbb32f,1,0,22948,320,50,2654,3,38,-1,23
37830052,3.1483584779873905e+18,0,14103009,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,b4f20df1,7b7ca585,1,0,22813,320,50,2647,2,39,100148,23
16292418,4.621607899049419e+17,0,14102417,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,ee352c12,981edffc,1,3,21189,320,50,2424,1,161,100190,71
29715156,1.0447479096671627e+19,0,14102813,1005,0,85f751fd,c4e18dd6,50e219e0,e9739828,df32afa9,cef3e649,a99f214a,ca222fbb,78d9bd10,1,0,23454,320,50,2688,1,33,-1,212
14528093,2.086534126701144e+18,0,14102408,1005,1,57ef2c87,bd6d812f,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a9445a4a,1f0bc64f,1,0,16615,320,50,1863,3,39,-1,23
32214147,3.363711286528424e+18,0,14102822,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,05e32801,981edffc,1,0,21189,320,50,2424,1,161,100189,71
26359939,1.1055253950370564e+19,0,14102718,1005,0,85f751fd,c4e18dd6,50e219e0,e2a1ca37,2347f47a,8ded1f7a,a99f214a,4b5c9680,b5bf16e5,1,0,17016,320,50,1873,3,39,-1,23
37587329,1.3792368539576766e+19,0,14103008,1005,0,b03fedc9,eb88a226,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,979b9410,76dc4769,1,0,8330,320,50,761,3,175,100075,23
17372366,1.714065964477084e+19,0,14102508,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,85e4cc2c,c4cff2ea,1,0,15708,320,50,1722,0,35,100084,79
21974477,1.2017028463838747e+19,0,14102612,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,1ac2d252,36d749e5,1,0,15702,320,50,1722,0,35,-1,79
33866175,1.3175595241891369e+19,0,14102909,1005,1,17caea14,0dde25ec,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,2fa3adc1,8a4875bd,1,0,21893,320,50,2526,0,167,100081,221
17863705,1.369453987041847e+19,0,14102511,1005,0,a36d69ee,3720f0f5,f66779e6,ecad2386,7801e8d9,07d7df22,a99f214a,c4b97a23,4ea23a13,1,0,8330,320,50,761,3,175,100079,23
6626874,5.743250912921729e+18,1,14102210,1005,0,5bcf81a2,9d54950b,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,763bd0de,4ea23a13,1,0,21770,320,50,2507,0,35,100176,157
322191,1.527942602975334e+19,0,14102102,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,5ce051a8,eca68936,9801dcd7,1,0,19251,320,50,2201,3,35,100037,43
24970406,5.697530663927484e+18,0,14102708,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,c88add2f,711ee120,1,0,20108,320,50,2299,2,1327,100084,52
34013888,9.74652792811256e+18,0,14102909,1005,0,85f751fd,c4e18dd6,50e219e0,3bfa19cb,2347f47a,0f2161f8,588c70bc,5816f830,5db079b5,1,2,23642,320,50,2709,3,35,-1,23
27717857,1.0626492267719263e+18,0,14102805,1005,0,85f751fd,c4e18dd6,50e219e0,96cba8a9,448ca2e3,cef3e649,40c898ca,39e24062,bbeedfee,1,0,18471,120,20,2104,3,559,-1,171
28571711,9.157814292504669e+18,0,14102808,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,5417dca1,b78e6543,1,0,15704,320,50,1722,0,35,-1,79
19198119,1.386275283138058e+19,0,14102517,1005,1,17caea14,0dde25ec,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,b5225326,8a4875bd,1,0,16208,320,50,1800,3,167,100074,23
9152443,1.2484778031742638e+19,0,14102221,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,272eeb8d,1af7ceb7,1,0,21691,320,50,2495,2,167,-1,23
13721102,5.251929249199902e+18,0,14102403,1005,0,d7714196,452bed30,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,296c42c4,335e31ff,1,0,17239,320,50,1973,3,39,-1,23
34679710,1.7253432147869446e+19,0,14102913,1005,0,6c5b482c,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,c024d934,84ebbcd4,1,0,19016,300,250,2162,2,39,-1,33
5938032,1.3153617097048082e+19,1,14102209,1005,0,d6137915,bb1ef334,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,7c4a0f5c,5ef191d3,1,0,16920,320,50,1899,0,431,100081,117
6446269,1.551557623751373e+19,0,14102210,1005,0,85f751fd,c4e18dd6,50e219e0,66f5e02e,6f7ca2ba,0f2161f8,7bde7813,c5d4327c,7594f139,1,0,21772,300,50,2507,0,35,-1,157
8927451,4.090560377072826e+18,1,14102219,1002,0,887a4754,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,d78d9de2,af88b8c6,69ca45ee,0,0,16920,320,50,1899,0,431,100077,117
35416323,1.254013781491325e+19,0,14102917,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,20f81c30,8a4875bd,1,0,15705,320,50,1722,0,35,-1,79
9358426,8.675250007330053e+18,0,14102222,1005,0,85f751fd,c4e18dd6,50e219e0,d44c074c,ae637522,cef3e649,a99f214a,8dc9c6f6,496515fa,1,3,21191,320,50,2424,1,161,100190,71
5239100,5.481531803930059e+18,1,14102206,1002,0,df7971d4,ace5b8fd,50e219e0,ecad2386,7801e8d9,07d7df22,c46ed82e,8f3289c3,28e69561,0,0,21677,320,50,2495,2,167,-1,23
7743360,4.142778201758933e+18,0,14102213,1005,0,85f751fd,c4e18dd6,50e219e0,33291962,2347f47a,cef3e649,a99f214a,6a2713ec,1ebc7efd,1,0,21767,320,50,2506,0,35,100050,157
2110515,1.231248873056934e+19,0,14102110,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d4459d27,7abbbd5c,1,0,4687,320,50,423,2,39,100148,32
17756851,4.2481293919858176e+18,0,14102510,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,49a12827,c144e605,1,0,15704,320,50,1722,0,35,-1,79
24744813,1.5872684382971582e+19,0,14102707,1005,1,57fe1b20,5b626596,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,bd60934e,be6db1d7,1,0,21412,320,50,2467,2,167,-1,23
5157315,1.7391836149386486e+19,0,14102206,1005,0,85f751fd,c4e18dd6,50e219e0,66f5e02e,6f7ca2ba,0f2161f8,be5df551,5cd1c9a2,7ac6007f,1,2,21790,320,50,2513,3,35,-1,68
4021477,4.84424191012084e+18,0,14102122,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,c5877790,a0f5f879,1,0,21763,320,50,2502,0,35,-1,221
7512606,9.098317129032781e+18,0,14102212,1005,1,a7853007,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d90a7774,3bb1ddd7,1,0,9478,320,50,906,3,1451,100156,61
28574078,9.291727904509458e+18,0,14102808,1005,1,b7e9786d,b12b9f85,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,43d471f0,8a4875bd,1,0,22680,320,50,2528,0,39,100081,221
33104426,7.823453228115713e+18,0,14102904,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,0d7e5b30,76dc4769,1,0,22814,320,50,2647,2,35,100148,23
34880839,1.6862803397968534e+19,1,14102914,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,275c2416,e9b8d8d7,1,0,17753,320,50,1993,2,1063,100083,33
5463518,4.77331637793739e+18,1,14102207,1005,0,85f751fd,c4e18dd6,50e219e0,fb7c70a3,d9b5648e,0f2161f8,20428cf5,89c1ff91,72a00661,1,0,21747,320,50,2504,3,41,100160,111
24738566,1.5253151518631911e+19,0,14102707,1005,0,bb4524e7,d733bbc3,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ff878ffe,31bdffee,1,0,20632,320,50,2374,3,39,100148,23
8657275,1.381756647267054e+19,0,14102218,1005,0,85f751fd,c4e18dd6,50e219e0,e2a1ca37,2347f47a,8ded1f7a,6b3c9a3a,c06bd241,5db079b5,1,2,16688,320,50,1873,3,39,-1,23
12997780,7.477810916396521e+18,0,14102320,1005,0,85f751fd,c4e18dd6,50e219e0,be7c618d,2347f47a,f95efa07,1d7d70aa,c92a1ab5,f293c403,1,2,452,320,50,122,3,1327,-1,15
22785254,3.9733827207718743e+18,0,14102615,1005,1,e5c60a05,7256c623,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,bf5e71ab,73b81bfd,1,0,16859,320,50,1887,3,39,100194,23
15145912,1.7454297449333387e+19,0,14102412,1005,0,6256f5b4,28f93029,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,4594d5bc,2203a096,1,0,15708,320,50,1722,0,35,100084,79
19926935,5.212201624433083e+17,0,14102522,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,422295e1,1df52df3,1,0,17014,320,50,1872,3,39,-1,23
17547082,1.822815378492737e+19,0,14102509,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,d2a673f0,2203a096,1,0,17654,300,250,1994,2,39,100083,33
33348208,4.005046741624302e+18,1,14102906,1005,0,6256f5b4,28f93029,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,49d20dd8,d787e91b,1,0,15702,320,50,1722,0,35,-1,79
26330523,8.832190633121497e+18,1,14102717,1005,1,cbb01868,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d691e7bb,34091644,1,0,21687,320,50,2495,2,167,100068,23
22384817,7.540804936592612e+18,0,14102613,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,1b535956,fce66524,1,0,4687,320,50,423,2,39,100148,32
24053864,3.302053287843791e+18,0,14102702,1002,0,12547b38,5235d039,50e219e0,ecad2386,7801e8d9,07d7df22,ea5aea11,7951e98f,e96b49d6,0,0,21592,320,50,2478,3,167,100075,23
32085973,4.624605763090405e+18,0,14102821,1005,0,e3c09f3a,d262cf1e,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,58dd66b5,1f0bc64f,1,0,22987,320,50,2657,3,38,-1,23
25859979,1.4958132542366511e+19,0,14102715,1005,1,b7e9786d,b12b9f85,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,0b37ce22,a0f5f879,1,0,16838,320,50,1882,3,35,-1,13
32431468,2.479574645428348e+18,0,14102900,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,22e1481e,d783ff51,1,2,22676,320,50,2616,0,35,-1,51
26869686,3.1479394963729505e+18,0,14102721,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,9da4aa43,be74e6fe,1,0,4687,320,50,423,2,39,100148,32
7206009,1.326358776119409e+19,0,14102212,1005,0,727e79e2,40b37f4e,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,9c8438d3,8a4875bd,1,0,15699,320,50,1722,0,35,100083,79
39101538,9.771700493585661e+17,0,14103014,1005,0,235ba823,f6ebf28e,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c5d50780,8441e1f3,1,0,24036,320,50,2755,0,39,100075,76
23162000,2.4812530082985354e+18,1,14102617,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,3d1c020c,7c997db0,1,0,17653,300,250,1994,2,39,-1,33
20371627,6.500666988262834e+18,0,14102603,1005,0,517b8671,ac5abf20,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,7f9e9dca,d787e91b,1,0,8330,320,50,761,3,175,-1,23
11856413,1.177873849039729e+19,0,14102314,1005,0,2b1ddb24,98acf46c,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,d0af6c7d,daa861e9,1,0,20362,320,50,2333,0,39,-1,157
36686757,1.372857251748697e+19,0,14103004,1005,0,85f751fd,c4e18dd6,50e219e0,d36838b1,0e8616ad,0f2161f8,a99f214a,35761076,1f0bc64f,1,0,23804,320,50,2726,3,803,-1,229
20950906,1.4608929360619553e+19,0,14102607,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,18781f82,d1b0c050,1,0,20633,320,50,2374,3,39,-1,23
12529898,3.24001452736583e+18,1,14102317,1005,0,85f751fd,c4e18dd6,50e219e0,7358e05e,b9528b13,cef3e649,7317273c,da1b8603,ecb851b2,1,0,1038,320,50,178,3,1327,100148,15
27821818,3.303120202767287e+16,0,14102805,1005,1,791b5571,fd13bc73,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,486b53ef,7065d1c1,1,0,19772,320,50,2227,0,935,100076,48
11896522,1.5599456398869768e+18,0,14102314,1005,0,a36d69ee,3720f0f5,f66779e6,ecad2386,7801e8d9,07d7df22,a99f214a,6fdf1afa,711ee120,1,0,15705,320,50,1722,0,35,-1,79
15155077,1.8265691854242345e+19,1,14102412,1005,0,4bf5bbe2,6b560cc1,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,3b44554f,7fdd04d2,1,0,20634,320,50,2374,3,39,-1,23
14572770,6.354846548849172e+18,0,14102408,1002,0,391b8861,39db786a,50e219e0,ecad2386,7801e8d9,07d7df22,af6121a9,4c248183,37d3900c,0,0,19665,320,50,2253,2,303,-1,52
26972208,4.614994575922874e+18,0,14102722,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,7a0eca26,711ee120,1,0,17654,300,250,1994,2,39,-1,33
10213986,7.908040611940964e+18,0,14102304,1005,0,89a490f5,ce307e01,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,5db59e60,5ec45883,1,0,21912,320,50,2528,0,35,100079,221
34380024,7.699779580195459e+18,0,14102911,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,29abfbe4,2692a96a,1,3,21191,320,50,2424,1,175,100189,71
37313226,3.0500173180447063e+18,0,14103006,1005,0,89a490f5,ce307e01,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,2bd726a0,684581ce,1,0,19950,320,50,1800,3,167,-1,23
25931959,9.803231409433747e+17,0,14102715,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,93233e0f,ab7af0af,1,2,15705,320,50,1722,0,35,100084,79
2483068,1.285256306520381e+19,0,14102112,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,f9081a19,89416188,1,0,19251,320,50,2201,3,35,-1,43
27602177,1.3772372363687301e+19,0,14102804,1005,1,a7853007,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,2f323f36,03683bd4,1,0,22267,320,50,2566,3,815,100156,42
35441090,1.5132360703204512e+19,0,14102917,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,cf99bcb8,cb58e541,1,0,23141,320,50,2664,0,35,-1,51
26186341,1.5201054949765536e+19,0,14102717,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,3c2b34f3,d787e91b,1,0,20108,320,50,2299,2,1327,-1,52
39011847,4.0133053990120325e+18,0,14103014,1005,0,f6cba1bd,5c9c05b7,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e5f7ec65,00b1f3a7,1,0,24036,320,50,2755,0,303,100077,76
